"Code","Latitude","Longitude","Cell","Station","Date_in","Date_out","Année","Collecteur","Code site","Nom du site","Passive/active","Sorter","Number of specimens","Notes","Code ID","ID","IDENTIFIER","NUMBER OF SPECIMEN","MALE","FEMALE","SEX INDETERMINATE","IDENTIFICATION NOTE","DATE OF IDENTIFICATION","IDENTIFICATION METHOD","QR code","Recorder?","Unique","Source","Date","RightCell"
"85_7_090623_AL+SL+MM_a_sy.pi","49.696442,","5.913552",85,"7","NA","090623",2023,"Amanda Luttringer + Stephanie Lippert+ Manon Michea",NA,NA,"a",NA,NA,"a","sy.pi","Syritta pipiens","Sam Schaack",1,1,0,0,NA,"020823","morphological","MNHNL150757",NA,"Unique","Hand netting",2023-06-09,NA
"69_1_310723_AL+ SL_a_ep.ba","49.76819","141502",69,"1","NA","310723",2023,"Amanda Luttringer + Stephanie Lippert",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Amanda Luttringer",2,0,2,0,NA,"180923","morphological","MNHNL150892",NA,"Unique","Hand netting",2023-07-31,NA
"69_1_100823_HA + al._a_vo.zo","49.7645","134197",69,"1","NA","100823",2023,"Hinatea Ariey et al.",NA,NA,"a",NA,NA,"a","vo.zo","Volucella zonaria","Sam Schaack",1,1,0,0,NA,"061023","morphological","MNHNL81895",NA,"Unique","Hand netting",2023-08-10,NA
"69_1_100823_HA + al._a_ep.ba","49.7645","134197",69,"1","NA","100823",2023,"Hinatea Ariey et al.",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Sam Schaack",1,0,1,0,NA,"061023","morphological","MNHNL128434",NA,"Unique","Hand netting",2023-08-10,NA
"110_1_120723_SS_a_ep.ba","49588417","6340638",110,"1","NA","120723",2023,"Sam Schaack",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",1,NA,NA,NA,NA,"020924","morphological",NA,NA,"Unique","Hand netting",2023-07-12,NA
"114_3_030723_SL_a_ep.ba","495369347","59873423",114,"3","NA","030723",2023,"Stephanie Lippert",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",1,NA,NA,NA,NA,"020924","morphological",NA,NA,"Unique","Hand netting",2023-07-03,NA
"5_8_40723_CAP_a_er.te","50.1113313","59653515",5,"8","NA","40723",2023,"Chanistya Ayu Purnomo",NA,NA,"a",NA,NA,"a","er.te","Eristalis tenax","Stephanie Lippert",1,0,1,NA,NA,"030924","morphological",NA,NA,"Unique","Hand netting",2023-07-04,NA
"26_3_140623_AL_a_ep.ba","49.965974","5819985",26,"3","NA","140623",2023,"Amanda Luttringer",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-14,NA
"10_2_270623_HA + SL_a_ep.ba","50.064078","5953247",10,"2","NA","270623",2023,"Hinatea Ariey + Stephanie Lippert",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-27,NA
"9_1_200623_CAP_a_ep.ba","50.0620877","58770650",9,"1","NA","200623",2023,"Chanistya Ayu Purnomo",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-20,NA
"13_2_270623_CAP_a_ep.ba","50.0211195","58565112",13,"2","NA","270623",2023,"Chanistya Ayu Purnomo",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-27,NA
"132_1_300623_SS_a_ep.ba","49.471780","6089695",132,"1","NA","300623",2023,"Sam Schaack",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-30,NA
"86_1_160623_OK_a_ep.ba","49.6780057","59485103",86,"1","NA","160623",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-16,NA
"86_1_160623_OK_a_my.fl","49.6780057","59485103",86,"1","NA","160623",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,"a","my.fl","Myathropa florea","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-16,NA
"86_1_160623_OK_a_vo.pe","49.6780057","59485103",86,"1","NA","160623",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,"a","vo.pe","Volucella pellucens","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-16,NA
"24_1_200623_SS_a_ep.ba","49.980501","6164564",24,"1","NA","200623",2023,"Sam Schaack",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-20,NA
"14_6_270623_CAP+AL_a_ep.ba","50.04087","590227",14,"6","NA","270623",2023,"Chanistya Ayu Purnomo + Amanda Luttringer",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-27,NA
"2_5_190623_CAP_a_ep.ba","50.1525698","60188006",2,"5","NA","190623",2023,"Chanistya Ayu Purnomo",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-19,NA
"81_1_080623_SS_a_ep.ba","49.732031","6297101",81,"1","NA","080623",2023,"Sam Schaack",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-08,NA
"83_2_20623_AL+SB_a_ep.ba","49.7409760","64399835",83,"2","NA","20623",2023,"Amanda Luttringer + Steven Braun",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-02,NA
"101_2_60623_CG_a_ep.ba","49.62510","635420",101,"2","NA","60623",2023,"Caroline Grounds",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-06,NA
"74_2_260623_LB_a_ep.ba","49.7242466","58387808",74,"2","NA","260623",2023,"Lydia Barrouche",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-26,NA
"21_1_260623_OK_a_ep.ba","49.971498","5945807",21,"1","NA","260623",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-26,NA
"21_1_260623_OK_a_vo.pe","49.971498","5945807",21,"1","NA","260623",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,"a","vo.pe","Volucella pellucens","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-26,NA
"85_3_090623_AL+SL+MM_a_ep.ba","49.6646653","59112547",85,"3","NA","090623",2023,"Amanda Luttringer + Stephanie Lippert+ Manon Michea",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-09,NA
"83_4_020623_AL+SB_a_ep.ba","49.723070","6442305",83,"4","NA","020623",2023,"Amanda Luttringer + Steven Braun",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-02,NA
"52_2_200623_AL_a_ep.ba","49.798856","5818537",52,"2","NA","200623",2023,"Amanda Luttringer",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-20,NA
"86_2_160623_OK_a_my.fl","49.6697171","59497780",86,"2","NA","160623",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,"a","my.fl","Myathropa florea","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-16,NA
"86_2_160623_OK_a_ep.ba","49.6697171","59497780",86,"2","NA","160623",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-16,NA
"44_1_130623_OK+ SS_a_ep.ba","49.8505556","59844955",44,"1","NA","130623",2023,"Olivier Kirsch + Sam Schaack",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-13,NA
"55_3_270623_LB_a_ep.ba","49.7967296","60787671",55,"3","NA","270623",2023,"Lydia Barrouche",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-27,NA
"84_1_290623_SS_a_ep.ba","49.726829","6505037",84,"1","NA","290623",2023,"Sam Schaack",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-29,NA
"83_1_20623_AL+SB_a_ep.ba","497448846","64343700",83,"1","NA","20623",2023,"Amanda Luttringer + Steven Braun",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-02,NA
"110_2_010623_LB_a_ep.el","495865263","63536908",110,"2",NA,"010623",2023,"Lydia Barrouche",NA,NA,"a",NA,NA,"a","ep.el","Epistrophe eligans","Stephanie Lippert",1,1,0,0,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-01,NA
"6_5_280623_CAP_a_ep.ba","501172419","60339712",6,"5","NA","280623",2023,"Chanistya Ayu Purnomo",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-28,NA
"87_2_280623_LB_a_ep.ba","496595940","60237581",87,"2","NA","280623",2023,"Lydia Barrouche",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-28,NA
"99_2_120623_CG_a_ep.ba","4961099","622165",99,"2","NA","120623",2023,"Caroline Grounds",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"040924","morphological",NA,NA,"Unique","Hand netting",2023-06-12,NA
"83_1_260723_OK_a_sp.","497448846","64343700",83,"1","NA","260723",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,"a","sp.","Sphaerophoria","Ghislain Delalle",2,0,2,0,NA,"040924","morphological","MNHNL164462",NA,"Unique","Hand netting",2023-07-26,NA
"73_1_060623_SS_a_ep.ba","49746663","6495854",73,"1","NA","060623",2023,"Sam Schaack",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-06,NA
